Year,Deaths,Population,Accidents,Vehicles
1975,5633,34185,39404,
1976,5878,34528,39942,
1977,6052,34850,39562,
1978,5925,35081,39181,
1979,5793,35414,39036,
1980,6002,35735,40373,
1981,6107,36062,43755,
1982,5535,36399,38832,
1983,5561,36745,40454,
1984,4980,37063,35768,
1985,4688,37341,36100,
1986,4667,37572,37133,
1987,4625,37764,36433,
1988,4851,37885,37538,
1989,6724,37988,46338,
1990,7333,38073,50432,9040612
1991,7901,38144,54038,9860739
1992,6946,38203,50990,10206990
1993,6341,38239,48901,10437538
1994,6744,38265,53647,10858094
1995,6900,38284,56904,11185781
1996,6359,38294,57911,11765401
1997,7311,38290,66586,12283503
1998,7080,38277,61855,12709244
1999,6730,38263,55106,13169216
2000,6294,38254,57331,14106078
2001,5534,38242,53799,14724293
2002,5827,38219,53559,15525733
2003,5640,38191,51078,15899195
2004,5712,38174,51069,16701072
2005,5444,38157,48100,16815923
2006,5243,38125,46876,18035047
2007,5583,38116,49536,19471836
2008,5437,38136,49054,21336913
2009,4572,38167,44196,22024697
2010,3907,38530,38832,23037149
2011,4189,38538,40065,24189370
2012,3571,38533,37046,24875717
2013,3357,38496,35847,25683575
2014,3202,38479,34970,26472274
2015,2938,38437,32967,27409106
2016,3026,38433,33664,28601037
2017,2831,38532,32760,29634928
2018,2862,38521,31674,30800790
2019,2909,38428,30288,31989313
2020,2491,38308,23540,32991083
2021,2245,39857,22816,34030267
2022,1896,41026,21322,34866137
