Year,Deaths,VMT_Vehicle_Miles_Travelled_billions,Fatalities_per_100_million_VMT,Population_millions,Fatalities_per_100000_population
1950,33186,458.246,7.24,152.271417,21.794
1951,35309,491.093,7.19,154.877889,22.798
1952,36088,513.581,7.03,157.55274,22.905
1953,36190,544.433,6.65,160.184192,22.593
1954,33890,561.963,6.03,163.025854,20.788
1955,36688,605.646,6.06,165.931202,22.11
1956,37965,627.843,6.05,168.903031,22.477
1957,36932,647.004,5.71,171.98413,21.474
1958,35331,664.653,5.32,174.881904,20.203
1959,36223,700.48,5.17,177.829628,20.369
1960,36399,718.762,5.06,180.671158,20.147
1961,36285,737.421,4.92,183.691481,19.753
1962,38980,766.734,5.08,186.537737,20.897
1963,41723,805.249,5.18,189.241798,22.047
1964,45645,846.298,5.39,191.888791,23.787
1965,47089,887.812,5.3,194.302963,24.235
1966,50894,925.899,5.5,196.560338,25.892
1967,50724,964.005,5.26,198.712056,25.526
1968,52725,1015.869,5.19,200.706052,26.27
1969,53543,1061.791,5.04,202.676946,26.418
1970,52627,1109.724,4.74,205.052174,25.665
1971,52542,1178.811,4.46,207.660677,25.302
1972,54589,1259.786,4.33,209.896021,26.008
1973,54052,1313.11,4.12,211.908788,25.507
1974,45196,1280.544,3.53,213.853928,21.134
1975,44525,1327.664,3.35,215.973199,20.616
1976,45523,1402.38,3.25,218.035164,20.879
1977,47878,1467.027,3.26,220.239425,21.739
1978,50331,1544.704,3.26,222.584545,22.612
1979,51093,1529.133,3.34,225.055487,22.702
1980,51091,1527.295,3.35,227.224681,22.485
1981,49301,1555.308,3.17,229.465714,21.485
1982,43945,1595.01,2.76,231.664458,18.969
1983,42589,1652.788,2.58,233.791994,18.217
1984,44257,1720.269,2.57,235.824902,18.767
1985,43825,1774.826,2.47,237.923795,18.42
1986,46087,1834.872,2.51,240.132887,19.192
1987,46390,1921.204,2.41,242.288918,19.147
1988,47087,2025.962,2.32,244.498982,19.259
1989,45582,2096.487,2.17,246.81923,18.468
1990,44599,2144.362,2.08,249.464396,17.878
1991,41508,2172.05,1.91,252.153092,16.461
1992,39250,2247.151,1.75,255.029699,15.39
1993,40150,2296.378,1.75,257.782608,15.575
1994,40716,2357.588,1.73,260.327021,15.6403
1995,41817,2422.823,1.73,262.803276,15.9119
1996,42065,2484.08,1.69,265.228572,15.8599
1997,42013,2552.233,1.65,267.783607,15.6892
1998,41501,2628.148,1.58,270.248003,15.3566
1999,41717,2690.241,1.55,272.690813,15.2983
2000,41945,2746.925,1.53,282.216952,14.8627
2001,42196,2795.61,1.51,285.226284,14.794
2002,43005,2855.508,1.51,288.125973,14.926
2003,42884,2890.221,1.48,290.796023,14.747
2004,42836,2964.788,1.44,293.638158,14.588
2005,43510,2989.43,1.46,296.507061,14.674
2006,42708,3014.371,1.42,299.398484,14.265
2007,41259,3031.124,1.36,301.139947,13.701
2008,37423,2976.528,1.26,303.82464,12.317
2009,33883,2956.764,1.15,306.7,11.048
2010,32999,2967.266,1.11,309.326,10.668
2011,32479,2950.402,1.1,311.588,10.42
2012,33782,2969.433,1.14,313.914,10.75
2013,32893,2988.28,1.1,316.129,10.4
2014,32744,3025.656,1.08,318.86,10.28
2015,35092,3095.373,1.13,321.37,11.06
2016,34532,3150.654,1.05,323.22,10.20
2017,32817,3200.545,1.02,325.65,10.121
2018,32501,3260.564,1.00,327.45,10.922
2019,32656,3320.202,1.08,329.12,10.54
2020,25321,2952.512,0.97,330.84,9.512
2021,28556,3451.254,1.11,331.89,9.81
2022,31623,3655.546,1.12,333.51,10.08
